Ticker,Shares,AvgCostJPY
GIVN.SW,3,677111
MSFT,29,50146
GLDM,185,6995
V,32,37072
CAT,31,54918
GEBN.SW,14,92395
NKE,165,11931
UL,163,7537
SPGI,20,60961
TSLA,31,56085
JNJ,55,24068
EPI,178,7490
ZTS,49,26722
ASML,10,101338
ADBE,17,78857
MSTR,18,52903
NVO,75,17846
MC.PA,10,140760
IONQ,125,5145
7974.T,200,9051
