Date,Open,High,Low,Close,Volume
2020-06-15,322.8435110329315,334.8003234863281,322.0017467655825,334.8003234863281,598200.0
2020-06-16,335.98636274665665,339.57340576530424,331.9593172913223,336.7515869140625,863900.0
2020-06-17,345.6761370549902,349.85623282854687,344.7482875049853,346.661376953125,710400.0
2020-06-18,343.95438443701147,346.0779151723988,341.0273595303198,343.2848205566406,494700.0
2020-06-19,348.8806095044677,352.14243090718685,343.9639550219936,344.9970397949219,786900.0
2020-06-22,346.63271270791284,349.0718902953591,344.1839603311145,348.459716796875,554500.0
2020-06-23,354.5050351937947,355.64332577970873,350.62146585059236,350.70758056640625,604100.0
2020-06-24,349.7033087845013,351.5877037408465,343.9066479931934,345.8675537109375,613500.0
2020-06-25,346.71880047513173,350.9849821790694,342.9978271305936,350.6214904785156,465100.0
2020-06-26,351.4632967774052,352.1998550563449,345.3127198807642,346.0397033691406,493000.0
2020-06-29,347.15884418261084,349.23455952340936,342.548290617471,348.9571533203125,612800.0
2020-06-30,346.47964763374847,352.87893447808545,346.4509524583159,352.03717041015625,678600.0
2020-07-01,352.0372150952008,354.1033555628979,349.39714185457115,351.6163330078125,516600.0
2020-07-02,357.3268696750819,359.5460605954275,356.22684900407376,357.00164794921875,449400.0
2020-07-06,369.4940904672597,372.56459082153617,366.8348973335161,368.709716796875,752900.0
2020-07-07,368.652345941319,371.7228464579433,365.27574409449255,365.4192199707031,410900.0
2020-07-08,371.9332954199899,375.1090311079721,370.07762539563714,374.8985900878906,599300.0
2020-07-09,378.26570163307275,378.48568828293554,369.3220007610439,377.5674133300781,644200.0
2020-07-10,381.73793686332505,381.84317198490726,374.91779605032514,378.6483154296875,667200.0
2020-07-13,380.57088616166084,385.36318477519865,371.0150133013053,371.732421875,1083600.0
2020-07-14,369.8289233272033,380.2743762703566,368.66193749523904,379.5856628417969,880100.0
2020-07-15,370.3454247075782,370.8428174431536,356.32247588881097,359.1155700683594,1640300.0
2020-07-16,357.8433611668475,376.7446636938292,356.61898517647046,368.4801330566406,2240900.0
2020-07-17,368.6810594568855,370.23065737990464,363.5922340569866,366.9210205078125,1048700.0
2020-07-20,367.22717885283345,375.415201369684,365.47668522999135,374.4682312011719,972600.0
2020-07-21,375.0994500656258,375.2429259313441,366.5096682103494,367.1409912109375,823700.0
2020-07-22,375.5586406520778,377.40476523768007,372.8133615570401,375.5395202636719,710100.0
2020-07-23,373.10030241468803,377.079532444053,365.2949222244538,367.5332336425781,990800.0
2020-07-24,354.8877031774342,358.85735834402686,350.8319332885412,351.702392578125,1628900.0
2020-07-27,361.56432362568114,367.11230042837144,359.90951996889277,365.18963623046875,1080300.0
2020-07-28,364.5487448990757,365.1513727444147,359.8425612152033,360.0051574707031,502000.0
2020-07-29,349.1388212524611,350.2484166257143,345.9726605786092,348.77532958984375,1446700.0
2020-07-30,340.38649595681903,347.0536148317299,339.43949669055,346.967529296875,1010400.0
2020-07-31,346.2214037938885,346.42227002930747,335.49851551363224,338.3490295410156,954900.0
2020-08-03,345.33184187759963,351.195466998978,344.1840054706173,350.6789245605469,862400.0
2020-08-04,352.41981426436314,355.71033090407707,352.19982763001593,354.23724365234375,833400.0
2020-08-05,354.88766919519406,356.99205008382654,350.77450934624375,352.4963073730469,591300.0
2020-08-06,352.0562830872046,353.5006749990183,348.35445958031437,353.1850280761719,402100.0
2020-08-07,354.6294321838218,355.04076865925975,346.5848864053309,350.1623840332031,572500.0
2020-08-10,348.90937948955536,350.8415899689575,343.91621319366527,349.5311279296875,547900.0
2020-08-11,350.13359737562484,353.3188780841318,344.98738270088006,345.609130859375,627000.0
2020-08-12,350.65972325474297,359.68950769156794,349.75102329116385,358.52252197265625,565400.0
2020-08-13,360.21568209269765,361.70791906114886,356.79126403811813,358.47479248046875,470700.0
2020-08-14,354.9546663375758,357.8912661674073,353.6059637258154,354.97381591796875,543900.0
2020-08-17,360.2921235598993,363.96525163718246,359.89993673716134,362.0617370605469,428200.0
2020-08-18,366.94012573373584,367.2940718199441,360.60780401788867,360.82781982421875,466500.0
2020-08-19,363.86006152518405,363.8983022963105,357.7094567652078,358.6468811035156,354400.0
2020-08-20,353.4815361893455,357.1546643299864,352.37194083569966,355.99725341796875,498200.0
